[2025-07-11 06:00:01] INFO - 🔧 Logging initialized
[2025-07-11 06:00:02] INFO - 프로그램 시작됨
[2025-07-11 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-11 06:00:19] INFO - 🔢 총 공고 수: 183325건 → 최대 페이지 수: 3667 페이지
[2025-07-11 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-11 06:00:50] INFO - 0148 | 한화생명금융서비스㈜ | 부천시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-07-11 06:00:50] INFO - 0149 | ㈜큐테크21 | [분당] 디지털 솔루션 운영/유지보수 | 8시간 전 등록
[2025-07-11 06:00:50] INFO - 0150 | 애드파이 | [(주)애드파이] 바이럴 마케팅 직원 채용 | 8시간 전 등록
[2025-07-11 06:00:50] INFO - ⏱ 3.41초 대기
[2025-07-11 06:00:54] INFO - 
📄 현재 페이지: 4
[2025-07-11 06:00:55] INFO - 0151 | 애드파이 | (주) 애드파이 경리 사원 채용공고(신입, 경력) | 8시간 전 등록
[2025-07-11 06:00:55] INFO - 0152 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-11 06:00:55] INFO - 0153 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 8시간 전 등록
[2025-07-11 06:00:55] INFO - 0154 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 8시간 전 등록
[2025-07-11 06:00:55] INFO - 0155 | 시계탑 | [시계수리] 시계탑 채용공고 | 8시간 전 등록
[2025-07-11 06:00:55] INFO - 0156 | 에이아이에이프리미어파트너스㈜ | [대구시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-11 06:00:56] INFO - 0157 | 에이아이에이프리미어파트너스㈜ | [광주시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-11 06:00:56] INFO - 0158 | 오션키즈 사당점 | 어린이 수영장 팀장 모집/연 4000 이상/입사지원금 50만 지급 | 8시간 전 등록
[2025-07-11 06:00:56] INFO - 0159 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 8시간 전 등록
