[2025-06-28 06:00:02] INFO - 🔧 Logging initialized
[2025-06-28 06:00:02] INFO - 프로그램 시작됨
[2025-06-28 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-06-28 06:00:40] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-06-28 06:00:40] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-06-28 06:00:40] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-06-28 06:00:54] INFO - 🔢 총 공고 수: 177674건 → 최대 페이지 수: 3554 페이지
[2025-06-28 06:00:54] INFO - 
📄 현재 페이지: 1
[2025-06-28 06:01:20] INFO - 0115 | 법무법인 더스마트 | [법무법인 더스마트] 재무회계 - 보고와 실무 에 강한 인재 | 6시간 전 등록
[2025-06-28 06:01:20] INFO - 0116 | 법무법인 더스마트 | [법무법인 더스마트] 송무지원(송무비서) 인재 채용 | 6시간 전 등록
[2025-06-28 06:01:20] INFO - 0117 | 현대영어학원 | 도봉구 쌍문동 학원 데스크, 수업 보조 선생님 | 6시간 전 등록
[2025-06-28 06:01:20] INFO - 0118 | ㈜휴먼코아 | [연4,500만ㅣ대기업] 현대글로비스 시화센터 사무직 채용( -7/7 오전 8시 ) | 6시간 전 등록
[2025-06-28 06:01:20] INFO - 0119 | 에스엠서치플러스㈜ | UY-03 시청-평일근무 [프로모션빵빵] 롯데카드 대표번호 걸려오는 전화상담 | 7시간 전 등록
[2025-06-28 06:01:21] INFO - 0120 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-06-28 06:01:21] INFO - 0121 | ㈜씨앤아이테크 | 시스템운영관리(Linux 경력 3년 이상) | 8시간 전 등록
[2025-06-28 06:01:21] INFO - 0122 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-28 06:01:21] INFO - 0123 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-28 06:01:21] INFO - 0124 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 8시간 전 등록
[2025-06-28 06:01:21] INFO - 0125 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-28 06:01:22] INFO - 0126 | ㈜씨앤아이테크 | 시스템운영관리(Linux 어드민)(경력6년 이상) | 8시간 전 등록
[2025-06-28 06:01:22] INFO - 0127 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-28 06:01:22] INFO - 0128 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-28 06:01:22] INFO - 0129 | 프라임에셋 | 병원인하우스 근무하실분 모집/ 경단녀.투잡가능/ 온라인영업 가능 | 8시간 전 등록
[2025-06-28 06:01:22] INFO - 0130 | ㈜씨앤아이테크 | Oracle/Tibero(DBA) 운영관리자 모집(3년이상 경력직) | 8시간 전 등록
[2025-06-28 06:01:22] INFO - 0131 | ㈜삼구엘에스 | [삼구엘에스] 농심 물류센터 강릉지점 판촉(배송보조)근로자 모집 | 8시간 전 등록
[2025-06-28 06:01:23] INFO - 0132 | 보어드앤헝그리 | BOREDnHURGRY 신수동 2호점에서 크루를 모집합니다. | 8시간 전 등록
[2025-06-28 06:01:23] INFO - 0133 | 행복추구 패러다임㈜kcms | 서울숲역 현대글로비스 물류 프로젝트 (s01) | 8시간 전 등록
[2025-06-28 06:01:23] INFO - 0134 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-06-28 06:01:23] INFO - 0135 | 한화생명금융서비스㈜ | 충청남도-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-06-28 06:01:23] INFO - 0136 | 한화생명금융서비스㈜ | 부산시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-06-28 06:01:23] INFO - 0137 | 한화생명금융서비스㈜ | 부천시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
