[2025-07-18 06:00:02] INFO - 🔧 Logging initialized
[2025-07-18 06:00:02] INFO - 프로그램 시작됨
[2025-07-18 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-18 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-18 06:01:15] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:01:15] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:01:15] INFO - 
🚀 크롤러 실행 시도 3/3
[2025-07-18 06:01:29] INFO - 🔢 총 공고 수: 182866건 → 최대 페이지 수: 3658 페이지
[2025-07-18 06:01:29] INFO - 
📄 현재 페이지: 1
[2025-07-18 06:01:47] INFO - 0092 | (주)맨파워코리아 | [여의도] 솔벤텀코리아 Outside Sales Representative 채용 (1Y/육휴 대체) | 6시간 전 등록
[2025-07-18 06:01:48] INFO - 0093 | (주)맨파워코리아 | [삼성역] 중국계 해외직구 플랫폼 A사 Finance Team Admin 채용 | 6시간 전 등록
[2025-07-18 06:01:48] INFO - 0094 | 보람상조피플주식회사 | 부서장 특별 공개 채용 | 7시간 전 등록
[2025-07-18 06:01:48] INFO - 0095 | L2휘트니스 | [왕십리헬스장] 엘투휘트니스 왕십리점 경력/신입 트레이너를 모집합니다 | 7시간 전 등록
[2025-07-18 06:01:48] INFO - 0096 | 주식회사 코어소사이어티 | [삼성점] `더 이탈리안 클럽` 서비스 팀원 사원부터 캡틴 모십니다 | 7시간 전 등록
[2025-07-18 06:01:48] INFO - 0097 | 엔피비알(NPBR) | 22년전통 브리핑 영업 전문강사 신입 및 경력 모집 (대구.경북) | 7시간 전 등록
[2025-07-18 06:01:48] INFO - 0098 | 에이아이조이테크놀로지 유한회사(AI | 라이브 방송 매니저 | 7시간 전 등록
[2025-07-18 06:01:49] INFO - 0099 | 릴리브의원 | [압구정역앞//간호파트/피부과]간호파트 추가 모집합니다. | 8시간 전 등록
[2025-07-18 06:01:49] INFO - 0100 | ㈜써큘러랩스 | 운영관리팀 채용 (운전 필수 / 단순 물류 및 현장관리) | 8시간 전 등록
[2025-07-18 06:01:49] INFO - ⏱ 3.10초 대기
[2025-07-18 06:01:53] INFO - 
📄 현재 페이지: 3
[2025-07-18 06:01:53] INFO - 0101 | 상수동 카스티야 | 베이커리 생산직 구인 | 8시간 전 등록
[2025-07-18 06:01:53] INFO - 0102 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-18 06:01:53] INFO - 0103 | 한국휴메인월드포애니멀즈 | 국제 동물보호단체 휴메인월드포애니멀즈 한국 대표 구인 | 8시간 전 등록
[2025-07-18 06:01:54] INFO - 0104 | ㈜한국능률협회컨설팅 | 서울에너지드림센터 운영지원팀 팀장 채용 (회계) | 8시간 전 등록
[2025-07-18 06:01:54] INFO - 0105 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-18 06:01:54] INFO - 0106 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-18 06:01:54] INFO - 0107 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-18 06:01:54] INFO - 0108 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-18 06:01:54] INFO - 0109 | 조인아이티 | 개발.운영성/상암/즉시-26.02/중-고급/웹기획자/. | 8시간 전 등록
[2025-07-18 06:01:54] INFO - 0110 | 피플라이프㈜ | 용산 / 보험설계사 경력자 채용 [업계 다양한 DB 사용 가능]. | 8시간 전 등록
[2025-07-18 06:01:55] INFO - 0111 | 데저트(DESERT) | [DESERT] 리버뷰 로스터리 카페직원&아르바이트 모집 | 8시간 전 등록
[2025-07-18 06:01:55] INFO - 0112 | 피플라이프㈜ | [용산-직전 연봉 대비 지원금 지급] 인큐 사업단장/지점장 채용 공고. | 8시간 전 등록
[2025-07-18 06:01:55] INFO - 0113 | ㈜케이씨엠에스 | 여의도 생보사 영업지원시스템(SFA) 풀스택 운영 (t07) | 8시간 전 등록
