[2025-07-08 06:00:01] INFO - 🔧 Logging initialized
[2025-07-08 06:00:01] INFO - 프로그램 시작됨
[2025-07-08 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-08 06:00:15] INFO - 🔢 총 공고 수: 176933건 → 최대 페이지 수: 3539 페이지
[2025-07-08 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-08 06:00:41] INFO - 0125 | 윤성유통(스톤베어) | 스톤베어 굿즈 디자이너 채용 경력직 모집 | 6시간 전 등록
[2025-07-08 06:00:41] INFO - 0126 | ㈜트랜스코스모스코리아 | [서울대입구역/신규오픈센터] SSG 고객센터 관리자 채용(팀장/강사) | 7시간 전 등록
[2025-07-08 06:00:42] INFO - 0127 | ㈜신우디앤피 | DTP 및 CTP 관련 경력자분을 모십니다. | 7시간 전 등록
[2025-07-08 06:00:42] INFO - 0128 | ㈜디비더블유디 | 더치랩 더현대 서울점 매장 오픈/마감 매니저 채용 공고 | 7시간 전 등록
[2025-07-08 06:00:42] INFO - 0129 | 스튜디오32 | 스튜디오 증명사진 포토샵 작업 경력자 | 8시간 전 등록
[2025-07-08 06:00:42] INFO - 0130 | ㈜키두 | [재택근무] 플립매쓰 유아 수학 화상수업 강사를 모집합니다. | 8시간 전 등록
[2025-07-08 06:00:42] INFO - 0131 | 라파리나(La farina) | 베이커리 카페 La Farina 신입/ 경력 바리스타 채용 | 8시간 전 등록
[2025-07-08 06:00:42] INFO - 0132 | 분당이매캔비어학원 | [직영] 분당이매 캔비어학원 운영팀원 채용 | 8시간 전 등록
[2025-07-08 06:00:42] INFO - 0133 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-08 06:00:43] INFO - 0134 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-08 06:00:43] INFO - 0135 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-08 06:00:43] INFO - 0136 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-08 06:00:43] INFO - 0137 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-08 06:00:43] INFO - 0138 | ㈜심슨교육 | 비바키즈어학원 유초등부 교수부장 채용 | 8시간 전 등록
[2025-07-08 06:00:43] INFO - 0139 | ㈜오픈테크 | 결제수단 pjt 기획자 모집 | 8시간 전 등록
[2025-07-08 06:00:44] INFO - 0140 | ㈜비전브릿지파트너스 | 서비스기획 K-POP 글로벌 팬덤 플랫폼 | 8시간 전 등록
[2025-07-08 06:00:44] INFO - 0141 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-07-08 06:00:44] INFO - 0142 | 인카금융서비스㈜ | 남양주-TOT본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용. | 8시간 전 등록
[2025-07-08 06:00:44] INFO - 0143 | ㈜비전브릿지파트너스 | 경영관리 팀원 경력직 | 8시간 전 등록
[2025-07-08 06:00:44] INFO - 0144 | 인카금융서비스㈜ | 아산-TOT 본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용. | 8시간 전 등록
[2025-07-08 06:00:44] INFO - 0145 | 인카금융서비스㈜ | [TOT 본부장-입사지원금/DB 다양한 지원] 신입/경력 재무설계사 채용. | 8시간 전 등록
[2025-07-08 06:00:44] INFO - 0146 | ㈜비전브릿지파트너스 | K-POP 글로벌 팬덤 플랫폼 마케팅 및 영상 콘텐츠 제작 모집 | 8시간 전 등록
